index,review,tagging
758,"지인 추천으로 구매했어요
갈비 튼실하고 살도 쏙쏙 잘 빠지고 우거지는 흐믈 거리지 않고 딱 좋아요
국물은 맵지 않으면서 담백하고 찐한 맛

만족합니다","{'갈비 튼실하고 살도 쏙쏙 잘 빠지고': '양', '우거지는 흐믈 거리지 않고 딱 좋아요': '맛/향/풍미', '국물은 맵지 않으면서 담백하고 찐한 맛': '맛/향/풍미', '만족합니다': '맛/향/풍미'}"
759,"지난주에 먹고 또 구매했어요
가족들이 다 좋아라 해서 쟁이지 않을 수 없네요 ㅎ
굳이 흠을 찾을 수 없을 정도로 좋아요
참 맛있어요","{'지난주에 먹고 또 구매했어요': '보관', '가족들이 다 좋아라 해서 쟁이지 않을 수 없네요': '양', '굳이 흠을 찾을 수 없을 정도로 좋아요': '맛/향/풍미', '참 맛있어요': '맛/향/풍미'}"
760,맛있게 잘 먹었습니다 다음에 또 주문할께요 ,{}
761,"갈비탕이 먹고 싶어
선택하던 중 신제품이고
후기 평이 괜찮아
고민 없이 주문해서
먹었는데
기대 이상으로 넘 맛있었 슴
갈비에 고기도 많고
싱싱한 우거지까지
맛 배송 모두 만족
강추","{'갈비탕이 먹고 싶어': '맛/향/풍미', '후기 평이 괜찮아': '맛/향/풍미', '기대 이상으로 넘 맛있었 슴': '맛/향/풍미', '갈비에 고기도 많고': '양', '싱싱한 우거지까지': '맛/향/풍미', '맛 배송 모두 만족': '포장/배송', '강추': '맛/향/풍미'}"
762,"진심 클럽하우스 2 만 5 천 원 짜리보다 더 맛있음
심지어 그건 1인분인데 이건 2인분 충분함

개 놀람
국물이 밥을 말 수밖에 없는 맛임
맛있게 잘 먹었습니다","{'진심 클럽하우스 2 만 5 천 원 짜리보다 더 맛있음': '맛/향/풍미', '이건 2인분 충분함': '양', '국물이 밥을 말 수밖에 없는 맛임': '맛/향/풍미', '맛있게 잘 먹었습니다': '맛/향/풍미'}"
763,"그냥 끓이기만해서 먹었는데 맛있었습니다 
갈비도 실하게 들어 있고 우거지도 많이 있었어요
갈비 건져 먹고 국물에 밥 말아서 한 공기 뚝딱했네요
고추나 대파 뭐 이런 거 더 넣어서 끓여도 좋을 맛입니다","{'그냥 끓이기만해서 먹었는데 맛있었습니다': '맛/향/풍미', '갈비도 실하게 들어 있고 우거지도 많이 있었어요': '양', '국물에 밥 말아서 한 공기 뚝딱했네요': '활용 방법', '고추나 대파 뭐 이런 거 더 넣어서 끓여도 좋을 맛입니다': '활용 방법'}"
764,"신상품 나왔길래 구매해 본 외할머니 댁 우거지 갈비탕 

보글보글 끓을 때 이미 구수한 냄새가 가득합니다

매콤해 보이는 붉은 국물 색이 이미 맛있습니다
고기 육수가 느끼하지 않고 칼칼한 맛이 납니다

우거지가 식감이 흐믈 거리지 않고  큼직합니다

갈비가 큰 거 두 개 중 간 거 두 개 총 4개나 들었습니다
전반적으로 재료들의 식감이 살아 있고 양도 2 인이 즐기기에 충분합니다

느끼하지 않고 매콤 칼칼해 아침 식사 때 먹어도 좋을 것 같고 어르신들이 드셔도 좋을 것 같아요

갈비는 손으로 들고 막 뜯으면 제 맛입니다

외할머니 댁 어나더 레벨 입니다
매우 만족합니다","{'보글보글 끓을 때 이미 구수한 냄새가 가득합니다': '맛/향/풍미', '매콤해 보이는 붉은 국물 색이 이미 맛있습니다': '맛/향/풍미', '고기 육수가 느끼하지 않고 칼칼한 맛이 납니다': '맛/향/풍미', '우거지가 식감이 흐믈 거리지 않고 큼직합니다': '맛/향/풍미', '갈비가 큰 거 두 개 중 간 거 두 개 총 4개나 들었습니다': '양', '전반적으로 재료들의 식감이 살아 있고 양도 2 인이 즐기기에 충분합니다': '양', '느끼하지 않고 매콤 칼칼해 아침 식사 때 먹어도 좋을 것 같고 어르신들이 드셔도 좋을 것 같아요': '맛/향/풍미', '갈비는 손으로 들고 막 뜯으면 제 맛입니다': '맛/향/풍미', '매우 만족합니다': '맛/향/풍미'}"
765,"봄 기운은 가득한데 건강을 생각하면서
컬리에서 비타민을 찾다가
오 세 일도 하고 신제품도 있어서
구매했어요

아침에 바빠서 반찬과 미리 해동한 
우거지 갈비탕으로 간편하게 식사를 
했는데 너무 괜찮았어요

우거지도 큼직하고 부드럽고 
갈비도 뼈만 발라 내고 다 먹었네요 ㅎ
빨리 먹고 준비해야하는데
국물이 진하고 얼큰한 맛이어서
요즘 밥도 잘 안 먹었는데 
한 공기를 힘 나게 다 먹었어요

아침을 먹으면서 
잊고 있었던 개운 얼큰한 갈비탕 국물 맛을
찾은 것처럼 그래 이 맛이지 했네요
맛있게 잘 먹었습니다 또 재구매할게요","{'우거지도 큼직하고 부드럽고': '양', '갈비도 뼈만 발라 내고 다 먹었네요': '양', '국물이 진하고 얼큰한 맛이어서': '맛/향/풍미', '아침을 먹으면서 잊고 있었던 개운 얼큰한 갈비탕 국물 맛을 찾은 것처럼': '맛/향/풍미', '맛있게 잘 먹었습니다 또 재구매할게요': '활용 방법'}"
766,"재구매
우거지 갈비탕 조리해서 놓으니깐
맛집 한식집 부럽지 않아요
우거지 갈비탕 맛있게 잘 먹었습니다
갈비도 5개 정도 들어 있고 갈비 살이 
제법 있고 부드럽고 쫀득하게 맛있네요
국물 너무 맛있구요 우거지 완전 후루룩
식감이예요 
이번에도 우거지 갈비탕으로 맛있는 식사했습니다 굿","{'우거지 갈비탕 맛있게 잘 먹었습니다': '맛/향/풍미', '갈비도 5개 정도 들어 있고': '양', '갈비 살이 제법 있고 부드럽고 쫀득하게 맛있네요': '맛/향/풍미', '국물 너무 맛있구요': '맛/향/풍미', '우거지 완전 후루룩 식감이예요': '맛/향/풍미', '이번에도 우거지 갈비탕으로 맛있는 식사했습니다 굿': '맛/향/풍미'}"
767,"정말 감사한 제품이예요
계속 먹고 재주문하고 먹고 재주문하고 무한 반복하고 있어요 질리지가 않네요 
오늘 또 생각 나서 쟁겨 놓으러 왔다가 후기 남겨요
외할머니 댁 육개장이랑 갈비 미역국 좋아해서 냉동실에 항상 안 떨어지게 넣어 두는데 지금은 우거지 갈비탕이 육개장 보다 더 땡기게 되네요 
외할머니 댁 꺼는 제 입맛에 우거지 갈비탕 그 다음 육개장 그다음 갈비 미역국 이 맛나요
참고로 저는 매콤한 걸 좋아해서 청량 고추 잘게 짤라서 넣었더니 더 맛나더라고요
국물 간은 부드럽고 양이 많아서 밥 말아서 김치랑 같이 먹음 다른 반찬이 전혀 필요가 없어요 우거지 갈비탕에 밥 그리고 김치면 끝 속이 아주 든든해요","{'정말 감사한 제품이예요': '보관', '계속 먹고 재주문하고 먹고 재주문하고 무한 반복하고 있어요': '보관', '냉동실에 항상 안 떨어지게 넣어 두는데': '보관', '지금은 우거지 갈비탕이 육개장 보다 더 땡기게 되네요': '맛/향/풍미', '우거지 갈비탕 그 다음 육개장 그다음 갈비 미역국 이 맛나요': '맛/향/풍미', '청량 고추 잘게 짤라서 넣었더니 더 맛나더라고요': '맛/향/풍미', '국물 간은 부드럽고 양이 많아서': '양', '밥 말아서 김치랑 같이 먹음 다른 반찬이 전혀 필요가 없어요': '활용 방법', '우거지 갈비탕에 밥 그리고 김치면 끝 속이 아주 든든해요': '활용 방법'}"
768,"매일 같은 반찬에 지쳤는데 우거지 갈비탕으로 저녁 식탁에 변화를 주니 가족들 모두 넘 좋아하고 만족스러워요
무엇보다 맛있어요
갈비 4대 들어 있는데 모두 크고 먹기 좋은 부위였어요 살이 넘 쉽게 잘 발라지니 꼬맹이 조카도 손으로 갈비 잡고 야무지게 잘 먹었어요 국물까지 한 방울도 안 남기고 
넘 맛있게 잘 먹어서 담에 또 먹기로 약속했어요
어른부터 아이까지 모두 먹을 수 있는 우거지 갈비탕 지인들에게 추천해 줘야겠어요","{'매일 같은 반찬에 지쳤는데 우거지 갈비탕으로 저녁 식탁에 변화를 주니 가족들 모두 넘 좋아하고 만족스러워요': '활용 방법', '무엇보다 맛있어요': '맛/향/풍미', '갈비 4대 들어 있는데 모두 크고 먹기 좋은 부위였어요': '양', '살이 넘 쉽게 잘 발라지니 꼬맹이 조카도 손으로 갈비 잡고 야무지게 잘 먹었어요': '양', '국물까지 한 방울도 안 남기고 넘 맛있게 잘 먹어서 담에 또 먹기로 약속했어요': '맛/향/풍미', '어른부터 아이까지 모두 먹을 수 있는 우거지 갈비탕 지인들에게 추천해 줘야겠어요': '활용 방법'}"
769,"고기와 야채의 신선함이 느껴지고 육수의 깊은 맛이 일품입니다
오늘 컬리 쿠폰떠서 오늘 또 냉동실에 쟁기러 왔어요 ","{'고기와 야채의 신선함이 느껴지고 육수의 깊은 맛이 일품입니다': '맛/향/풍미', '오늘 컬리 쿠폰떠서 오늘 또 냉동실에 쟁기러 왔어요': '보관'}"
770,"고기가 부드럽고 갈비탕의 깊은 맛이 정말이지 한마디로 일품이네요 
고기 우거지 국물 모두 만족했어요 양도 넉넉했고요
이 가격에 이런 맛을 느낄 수 있다니
꼭 추천하고 싶은 제품이예요","{'고기가 부드럽고 갈비탕의 깊은 맛이 정말이지 한마디로 일품이네요': '맛/향/풍미', '고기 우거지 국물 모두 만족했어요': '맛/향/풍미', '양도 넉넉했고요': '양', '이 가격에 이런 맛을 느낄 수 있다니': '가격', '꼭 추천하고 싶은 제품이예요': '활용 방법'}"
771,"외할머니 댁 믿고 사지요
이것도 만족합니당",{}
772,"갈비 4대 들었구요
살 쏙쏙 잘 빠져요
우거지 식감 적당하구요
국물은 밥 말기 딱입니다
만족합니다","{'갈비 4대 들었구요': '양', '살 쏙쏙 잘 빠져요': '맛/향/풍미', '우거지 식감 적당하구요': '맛/향/풍미', '국물은 밥 말기 딱입니다': '맛/향/풍미', '만족합니다': '맛/향/풍미'}"
773," 외할머니 댁 우거지 갈비탕 첫 구매 후기 

평소에 갈비탕을 좋아해서 이것저것 다양하게 구입해서 먹어 봤는데

딱히 재 구입하고 싶은 제품은 없었어요 근데
드디어 발견했어요

보통 냉동 식품들 맛보면 자극적이거나 고기 사이즈가 작거나 등등 실망하는 경우가 많은데

이 갈비탕은 가격도 합리적이고 고기도 두툼한 게 맛도 감칠맛 대박

장점

 착한 가격

 대식가면 1끼용 저는 소시가라 2 끼 가능했음

 살코기도 많이 붙어 있고 고기 우거지 양도 많음

 평소에 저염식을 즐기고 있는데 국물이 자극적이지 않고 기름지지 않아 깔끔

단점

없어요
오랜만에 재 구입하고 싶은 갈비탕 발견해서 행복해요

갈비탕이지만 우거지 감자탕이랑 맛이 거의 비슷해서 감자탕 대용으로 좋아요

저는 다 먹었으니 또 사러 지금 갑니다 아아 앙","{'가격도 합리적이고': '가격', '고기도 두툼한 게 맛도 감칠맛 대박': '맛/향/풍미', '대식가면 1끼용 저는 소시가라 2 끼 가능했음': '양', '살코기도 많이 붙어 있고 고기 우거지 양도 많음': '양', '국물이 자극적이지 않고 기름지지 않아 깔끔': '맛/향/풍미', '갈비탕이지만 우거지 감자탕이랑 맛이 거의 비슷해서 감자탕 대용으로 좋아요': '활용 방법', '오랜만에 재 구입하고 싶은 갈비탕 발견해서 행복해요': '보관', '또 사러 지금 갑니다': '보관'}"
774,양도 많고 맛도 괜찮네요 맛있게 잘 먹었어요,"{'양도 많고': '양', '맛도 괜찮네요': '맛/향/풍미', '맛있게 잘 먹었어요': '맛/향/풍미'}"
775,갈비가 5개 들어 있고 맛도 좋아요,"{'갈비가 5개 들어 있고': '양', '맛도 좋아요': '맛/향/풍미'}"
776,간이 좀 세긴한데 맛있어서 종종 구매해요,"{'간이 좀 세긴한데': '맛/향/풍미', '맛있어서 종종 구매해요': '맛/향/풍미'}"
777,항상 애용해 용 감사합니다 ㅁ,{}
778,몇 번을 재구매했는지 그 정도로 맛있어요,{'몇 번을 재구매했는지 그 정도로 맛있어요': '맛/향/풍미'}
779,"갈비탕 관련 음식은 홈 쇼핑에 여러 번 속아
절대 시키지 않으려했는데
친구 추천으로 반신반의하며 구매했습니다

살이 많고 갈비대가 살아 있는 갈비탕은
정말 처음이였습니다 맛과 양 그리고 가격에 
감동 받아 엄마 아빠에게도 보내 드렸더니
의심 많은 아빠가 너무 맛있게 드시며
어디꺼냐며 많이 좀 시켜 달라 얘기하시네요","{'살이 많고 갈비대가 살아 있는 갈비탕은 정말 처음이였습니다': '양', '맛과 양 그리고 가격에 감동 받아': '맛/향/풍미', '너무 맛있게 드시며': '맛/향/풍미', '어디꺼냐며 많이 좀 시켜 달라 얘기하시네요': '활용 방법'}"
780,아직 먹기 전이지만 후기가 좋으니 벌써부터 기대되네요 ,{}
781,"맛있어서 재구매
담백하니 좋아요","{'맛있어서 재구매': '맛/향/풍미', '담백하니 좋아요': '맛/향/풍미'}"
782,남편 먹으라구 샀는데 괜찮았다고 하네요 ,{}
783,외할머니 꺼 대체로 맛있어서 구매해 봄,{}
784,"요즘 봄봄 봄 봄밤에 날씨도 좋쿠
창가에 활짝 핀 꽃도 보면서 
휴일에 남편과 집에서 편하게 맛있는 식사를 하고 싶어서 컬리에서 봄 나물도 사고 맛난 음식을 찾다가 둘 다 갈비탕을 좋아해서 
외할머니 댁 신제품 우거지 갈비탕을 
주문해 봤어요
빨간 개운한 국물이라 더 마음에 드는데요

갈비는 부드러워요 장조림 고기 식감보다 
씹었을 때 부드러웠어요 그렇다고 흐물거리지 
않아서 더 좋았어요
45개 정도 들어 있고 국 그릇에 담았을 때
가득 해서 나중에 손님 접대해도 좋을 것
같았습니다

우거지는 큼직했구요
야채 나물을 평소에도 데쳐서 잘 먹는 편이라
마른 나물 데친 식감이 아니구요
신선한 야채 데친 것처럼 좋았습니다 굿 
우거지 양도 많아서 입 안이 풍성해지네요

두 둥 여기 하이라이트는 갈비탕 국물
이더라구요
저는 건너기 파여서 왠 만하면 건더기만 먹고
국물은 패스인데

뼈를 푹 고아서 만든 국물의 맛이예요
한 숟갈 떴을 때 끝
갑자기 외할머니 댁 음식 중에 저의 최애가
우거지 갈비탕으로 바꼈어요
개운 시원 담백한 맛에 또 얼큰한 맛 추가입니다
이번 휴일에 집에서 하는 식사는 성공

창문 열고 꽃 향기 맡으면서 
따끈한 우거지 갈비탕과 시원한 음료도 같이 
마시니깐 더 맛있었어요
좋은 음식으로 봄 추억이 쌓이네요
많이 파세요 재구매합니다","{'갈비는 부드러워요': '맛/향/풍미', '흐물거리지 않아서 더 좋았어요': '맛/향/풍미', '45개 정도 들어 있고 국 그릇에 담았을 때 가득 해서': '양', '우거지는 큼직했구요': '양', '신선한 야채 데친 것처럼 좋았습니다': '맛/향/풍미', '우거지 양도 많아서 입 안이 풍성해지네요': '양', '하이라이트는 갈비탕 국물 이더라구요': '맛/향/풍미', '뼈를 푹 고아서 만든 국물의 맛이예요': '맛/향/풍미', '개운 시원 담백한 맛에 또 얼큰한 맛 추가입니다': '맛/향/풍미', '좋은 음식으로 봄 추억이 쌓이네요': '활용 방법', '많이 파세요 재구매합니다': '가격'}"
785,괜찮아여 맛은 먹을 만합니다,{'괜찮아여 맛은 먹을 만합니다': '맛/향/풍미'}
786,리뷰가 좋아서 사 봤어요 맛 잇었음 좋겠네요,{'맛 잇었음 좋겠네요': '맛/향/풍미'}
787,이거 넘 맛있어서 재구매했어요,{}
788,"고기 살이 엄청 많아서 놀랬어요
큰 갈비가 4개가 들어 있어서 놀랬구요
맛보곤 더 놀랬습니다 맛있어서요

맛있으면 애주가는 술을 찾게되느데요
국물 맛을 보자마자 바로 이건 소주다 싶어 얼른 가져왔습니다
국물의 적당한 매콤함 구수함 담백함 
부드러운 살코기와 우거지의 향연으로
한 끼 식사가 다채로워졌습니다","{'고기 살이 엄청 많아서 놀랬어요': '양', '큰 갈비가 4개가 들어 있어서 놀랬구요': '양', '맛보곤 더 놀랬습니다 맛있어서요': '맛/향/풍미', '국물 맛을 보자마자 바로 이건 소주다 싶어 얼른 가져왔습니다': '맛/향/풍미', '국물의 적당한 매콤함 구수함 담백함': '맛/향/풍미', '부드러운 살코기와 우거지의 향연으로': '맛/향/풍미', '한 끼 식사가 다채로워졌습니다': '맛/향/풍미'}"
789,"좋아하는 제품이라 자주 구매해요
건더기도 풍성하고 맛있습니다","{'좋아하는 제품이라 자주 구매해요': '보관', '건더기도 풍성하고 맛있습니다': '맛/향/풍미'}"
790,시원하고 얼큰하고 맛있네요 재구매,{'시원하고 얼큰하고 맛있네요': '맛/향/풍미'}
791,"얼큰해요
반찬 하기 힘든 엄마 위해
이것저것 사 봅니다",{'얼큰해요': '맛/향/풍미'}
792,우거지 갈비탕 평 좋아서 사 봐요,{}
793,어른들 드시라고 보내 드렸는데 좋아하세요,{}
794,후기가 좋아서 기대하는 제품이에요 아직 시식 전인데 맛있음 좋겠어요,{}
795,고기도 제법 들어 있고 맛있어요,"{'고기도 제법 들어 있고': '양', '맛있어요': '맛/향/풍미'}"
796,쓸데 없는 이중 포장이 없어서 좋네요 아직 안 먹어 봐서 맛은 모르겠어요,"{'쓸데 없는 이중 포장이 없어서 좋네요': '포장/배송', '아직 안 먹어 봐서 맛은 모르겠어요': '맛/향/풍미'}"
797,맛있어요 갈비탕 맛있엉 ㅎ,"{'맛있어요': '맛/향/풍미', '갈비탕 맛있엉 ㅎ': '맛/향/풍미'}"
798,"팩에서부터 느껴진 묵짐함을 부가적인 설명 없이 증명해 주는 이 튼실한 갈비
동네 맛집 갈비탕에서나 먹어 볼 법한 맛을 외할머니 댁 우거지 갈비탕으로 쉽고 든든하게 한 끼 해결했습니다 극 추천 드려요 ","{'팩에서부터 느껴진 묵짐함을 부가적인 설명 없이 증명해 주는 이 튼실한 갈비': '양', '동네 맛집 갈비탕에서나 먹어 볼 법한 맛을': '맛/향/풍미', '쉽고 든든하게 한 끼 해결했습니다': '활용 방법', '극 추천 드려요': '활용 방법'}"
799,아이들 저녁 걱정 끝 외할머니 댁 우거지 갈비탕으로 영양 만점 엄마 손맛 가득한 식사를 준비했어요 ,"{'아이들 저녁 걱정 끝': '활용 방법', '영양 만점': '맛/향/풍미', '엄마 손맛 가득한 식사를 준비했어요': '활용 방법'}"
800,"저보고 사람들은 맛집 사장님이라고 합니다 ㅎ
그러면 뭐 해요 ㅜ 제 생일날 미역국 끓일 시간도
미역국 맛 집에 갈 시간도 없는 데 현타 옵니다 
얼마 전 믿고 보는 최애 기은세 배우님 유튜브에서 
차돌 된장 알게 되어  무료 배송 금액 맞추다 상품 평이
좋길래 사 놓은 갈 빗살 미역국이 생각나더군요
꽁꽁 얼었던 제품을 상온에 2 시간 두고 냄비에 부어
중불로 3분만 끓여 뚝배기로 옮겨 담아 큰 기대 없이
먹는 순간  엄지 척 이였습니다
이래저래 서운했던 맘까지
후루룩 풀어 주더군요 
입 꼬리가 쓰윽 올라가고 

국내산 미역이라 보들보들했고  비린 맛도 없어 좋았고  갈비 살 통 고기가 들었는데도 질기지도 않으면서
큼지막하니 씹어 먹는 맛도 있었고 
최고는 국물이였는데 정말 시골 외할머니가 정성과
사랑으로 사골 푸욱 끓인 깊은 맛이 일품이더군요
양도 많아 2명이 맛나게 먹었습니다

상품 평 쓰려니 시기가 지나 재구매했네요 ㅎ
솔직한 고백하자면 그 후 갈 빗살 사서 끓였더니
한 마디로 제가 졌습니다 ㅎ 갈 빗살도 따로 살려니
비싸고 ㅎ 그냥 편하고 맛있게 외할머니 찬스
쓸래요  생일날 미역국 잘 먹었습니다 
사업 더 대박 대운 하십시요 마켓컬리 혜택으로
또 저렴하게 구입해 컬리에게도 감사합니당
강추","{'국내산 미역이라 보들보들했고': '맛/향/풍미', '비린 맛도 없어 좋았고': '맛/향/풍미', '갈비 살 통 고기가 들었는데도 질기지도 않으면서': '맛/향/풍미', '큼지막하니 씹어 먹는 맛도 있었고': '맛/향/풍미', '최고는 국물이였는데 정말 시골 외할머니가 정성과 사랑으로 사골 푸욱 끓인 깊은 맛이 일품이더군요': '맛/향/풍미', '양도 많아 2명이 맛나게 먹었습니다': '양', '상품 평 쓰려니 시기가 지나 재구매했네요': '보관', '또 저렴하게 구입해 컬리에게도 감사합니당': '가격', '강추': '맛/향/풍미'}"
801,"갈 빗살 미역국 정말 깊은 맛도 좋아요 
맛있어요 추천해요","{'갈 빗살 미역국 정말 깊은 맛도 좋아요': '맛/향/풍미', '맛있어요 추천해요': '맛/향/풍미'}"
802," 후기가 너무 좋아서 고기 들어간 미역국을 구매해 보았는데
와 너무 맛있습니다 
고기 살이 부드럽고 미역도 부드럽구요 좋은 미역을 쓰는 것 같았어요

무엇보다 집에서 간편하게 두툼하면서도 살이 잘 발라진 갈비를
냄새 없이 고소하게 국으로 즐길 수 있다는 게
가성비 넘치는 것 같아서 만족합니다

재구매 의사 무조건입니다","{'와 너무 맛있습니다': '맛/향/풍미', '고기 살이 부드럽고 미역도 부드럽구요 좋은 미역을 쓰는 것 같았어요': '맛/향/풍미', '집에서 간편하게 두툼하면서도 살이 잘 발라진 갈비를': '양', '냄새 없이 고소하게 국으로 즐길 수 있다는 게': '맛/향/풍미', '가성비 넘치는 것 같아서 만족합니다': '가격', '재구매 의사 무조건입니다': '보관'}"
803,"맛있어요
고가 실하고
양 많고
한 끼 2 인 뚝딱","{'맛있어요': '맛/향/풍미', '고가 실하고': '양', '양 많고': '양', '한 끼 2 인 뚝딱': '양'}"
804,"맨날 시켜 먹어요
고기고 실하고 맛 좋아요","{'맨날 시켜 먹어요': '보관', '고기고 실하고': '양', '맛 좋아요': '맛/향/풍미'}"
805,와 맛있어요 느끼하지 않고 맛있네요 ,"{'와 맛있어요': '맛/향/풍미', '느끼하지 않고 맛있네요': '맛/향/풍미'}"
806,갈 빗살이 기름 좀 떼고 먹으니 맛있습니다 ,{'기름 좀 떼고 먹으니 맛있습니다': '맛/향/풍미'}
807,"갈 빗살이 부드럽네요 
맛있습니다 ","{'갈 빗살이 부드럽네요': '맛/향/풍미', '맛있습니다': '맛/향/풍미'}"
808,갈비가 들어 있으니 맛나네요 갈비 지방 붙어 있는 부분은 거슬려요,"{'갈비가 들어 있으니 맛나네요': '맛/향/풍미', '갈비 지방 붙어 있는 부분은 거슬려요': '맛/향/풍미'}"
809,맛도 나쁘지 않고  고기가 큼직한데 기름기가  대 분분이라 잘라 내고 나면 고기는 없어요 국물  맛만 보면 재구매 할 듯  내용물과 가격 고려하면 제값 주곤  안 살 듯,"{'맛도 나쁘지 않고': '맛/향/풍미', '고기가 큼직한데 기름기가 대 분분이라 잘라 내고 나면 고기는 없어요': '양', '국물 맛만 보면 재구매 할 듯': '맛/향/풍미', '내용물과 가격 고려하면 제값 주곤 안 살 듯': '가격'}"
810,"변비 있을 때면 찾게 되는 멱 국
원산지 국내산 미역 ㅡ주문해 봤어요
시판 미역국의 얇고 미끄덩 거리는 조각조각 난 미역이 아닌 얇은 미역 줄기 ㅡ국내산 ㅡ에 광택 나는 식감 좋은 미역 혜자스런 선택이였음에 만족하며 한 그릇 뚝딱 헤 치웠네요  숙취에 해장용으로 먹어도 될 꺼 같은 텁텁하지 않은 속을 편안하게 달래 줄 꺼 같은 깊이 있는 맛 ","{'변비 있을 때면 찾게 되는 멱 국': '활용 방법', '국내산 미역 ㅡ주문해 봤어요': '맛/향/풍미', '얇은 미역 줄기 ㅡ국내산 ㅡ에 광택 나는 식감 좋은 미역': '맛/향/풍미', '헤 치웠네요': '양', '숙취에 해장용으로 먹어도 될 꺼 같은': '활용 방법', '텁텁하지 않은 속을 편안하게 달래 줄 꺼 같은 깊이 있는 맛': '맛/향/풍미'}"
811,우와 진짜 내용물 실하고 맛있어요,"{'진짜 내용물 실하고': '양', '맛있어요': '맛/향/풍미'}"
812,"굿
조미료 맛이 많이 나긴합니다
저는 미역국 끓일 때 고기와 미역 볶고 간 하기 전에 물 넣고 끓인 뒤 
외할머니 댁 갈비 살 미역국을 섞었어요 ㅋ
여기에 컬리 양지 육수를 추가해 주니 
완전 깊은 맛  
역대 급  미역국 맛이에요
며느리도 모를 맛입니다 ","{'조미료 맛이 많이 나긴합니다': '맛/향/풍미', '저는 미역국 끓일 때 고기와 미역 볶고 간 하기 전에 물 넣고 끓인 뒤': '활용 방법', '컬리 양지 육수를 추가해 주니': '활용 방법', '완전 깊은 맛': '맛/향/풍미', '역대 급 미역국 맛이에요': '맛/향/풍미', '며느리도 모를 맛입니다': '맛/향/풍미'}"
813,지금까지 사 먹은 미역국 레토르트 중에 최고입니다,{'지금까지 사 먹은 미역국 레토르트 중에 최고입니다': '맛/향/풍미'}
814,미역국 중 단연 으뜸입니다,{'미역국 중 단연 으뜸입니다': '맛/향/풍미'}
815,봉지는 색깔이 막 뭔가 맛 없게 보이는데 맛있네요,"{'봉지는 색깔이 막 뭔가 맛 없게 보이는데': '포장/배송', '맛있네요': '맛/향/풍미'}"
816,"오 두툼한 고기가 생각보다 실하게 들었어요 
국도 맛있고 아이들도 잘 먹네요 
재구매해야겠어요 

사진에 있는 국 양으로 두 그릇 충분히 나옵니다 ","{'두툼한 고기가 생각보다 실하게 들었어요': '양', '국도 맛있고 아이들도 잘 먹네요': '맛/향/풍미', '재구매해야겠어요': '보관', '사진에 있는 국 양으로 두 그릇 충분히 나옵니다': '양'}"
817,동생 생일이라 후기 좋길래 구매해 봤어요,{}
818,갈 빗살이 듬뿍 들어간 담백한 미역국 이에요,"{'갈 빗살이 듬뿍 들어간': '양', '담백한 미역국이에요': '맛/향/풍미'}"
819,맛이 있게 먹었어요  다음에도 주문할께요,{}
820,갈비 살 들어 있는 미역국,{'갈비 살 들어 있는 미역국': '맛/향/풍미'}
821,"국물이 진하고
고기도 부드러워요","{'국물이 진하고': '맛/향/풍미', '고기도 부드러워요': '맛/향/풍미'}"
822,맛있게 잘 먹었어요 돌돌 대패,{}
823,먼가 푹 끓인 미역국인 것보다는 미역의 색감이 살아 있는 느낌이에요 갈비 살도 실합니다,"{'먼가 푹 끓인 미역국인 것보다는 미역의 색감이 살아 있는 느낌이에요': '맛/향/풍미', '갈비 살도 실합니다': '양'}"
824,이거 양도 푸짐해서 밥에 곁들이면 2 인분도 가능합니다  고기도 꽤 들어 있어요 맛있네요,"{'양도 푸짐해서 밥에 곁들이면 2 인분도 가능합니다': '양', '고기도 꽤 들어 있어요': '양', '맛있네요': '맛/향/풍미'}"
825,"별 기대 안 했는데 맛있어요 입맛 까다로운
저희 집 남자 분도 맛있다고 하네요","{'맛있어요': '맛/향/풍미', '입맛 까다로운 저희 집 남자 분도 맛있다고 하네요': '맛/향/풍미'}"
826,오랜만에 시켰는데 뼈가 없어져서 더 만족합니다 ,{'뼈가 없어져서 더 만족합니다': '맛/향/풍미'}
827,"미역국 고기가 커서 좋아요
맛있어요","{'미역국 고기가 커서 좋아요': '양', '맛있어요': '맛/향/풍미'}"
828,맛있음 아이도 남편도 만족,{'맛있음': '맛/향/풍미'}
829,외할머니 댁 다 맛보았는데 미역국은 처음이네요 훌륭합니다,"{'미역국은 처음이네요': '맛/향/풍미', '훌륭합니다': '맛/향/풍미'}"
830,"일단 미역국 자체가 맛있어요
미역이 푹 끓여져서 부드럽고
갈 빗살도 큼직하면 육질이 쫄깃 ","{'미역국 자체가 맛있어요': '맛/향/풍미', '미역이 푹 끓여져서 부드럽고': '맛/향/풍미', '갈 빗살도 큼직하면 육질이 쫄깃': '맛/향/풍미'}"
831,미역국 두 종류 섞어 먹을려고 구매,{}
832,"자기 전에 꺼내 놓으면 아침에 먹기 좋아요
고기가 큼직합니다 ","{'자기 전에 꺼내 놓으면 아침에 먹기 좋아요': '활용 방법', '고기가 큼직합니다': '양'}"
833,"갈비 살도 맛있고 국물 맛 맘에 드네요
적게 먹는 사람 2 인분 혼자 넉넉히 1인분 소화되는 양","{'갈비 살도 맛있고 국물 맛 맘에 드네요': '맛/향/풍미', '적게 먹는 사람 2 인분 혼자 넉넉히 1인분 소화되는 양': '양'}"
